time_period,location,rainfall,mean_temperature,disease_cases,population
2010-01,Bokeo,12.010475272953805,24.383800600014958,,75000
2010-02,Bokeo,35.51335688649146,24.570739326338636,,75090
2010-03,Bokeo,0.0,26.64120079394235,4.0,75180
2010-04,Bokeo,98.57813458209385,26.936620393784565,13.0,75270
2010-05,Bokeo,208.7598494528162,27.436389948694256,4.0,75360
2010-06,Bokeo,380.61911050640947,27.27200948586912,49.0,75450
2010-07,Bokeo,520.6605223528416,22.88510579776311,36.0,75540
2010-08,Bokeo,354.71513954705836,21.80811999616584,28.0,75630
2010-09,Bokeo,204.10857019498818,20.691841117099063,44.0,75720
2010-10,Bokeo,113.00678365548127,19.466326968867463,9.0,75810
2010-11,Bokeo,33.417499004791146,19.48866688690416,2.0,75900
2010-12,Bokeo,64.50990402801196,20.942151866265192,0.0,75990
2011-01,Bokeo,68.91722141920025,24.025493845220986,1.0,76080
2011-02,Bokeo,15.121762443355216,24.210380092058326,5.0,76170
2011-03,Bokeo,0.0,26.028523518367773,10.0,76260
2011-04,Bokeo,93.07200295595203,27.66499691604514,20.0,76350
2011-05,Bokeo,208.41832149863183,27.573956084772394,12.0,76440
2011-06,Bokeo,380.99566725126925,25.696198089861426,49.0,76530
2011-07,Bokeo,455.80727662603954,23.149728689439936,14.0,76620
2011-08,Bokeo,387.8744809870758,22.955386708846852,3.0,76710
2011-09,Bokeo,181.16944658309947,18.820487307598427,29.0,76800
2011-10,Bokeo,105.0375689304144,20.517543637979585,5.0,76890
2011-11,Bokeo,37.97649150182261,20.080717044752454,0.0,76980
2011-12,Bokeo,9.80495487956659,21.877716231472615,0.0,77070
2012-01,Bokeo,55.60015210150573,23.686398599321894,0.0,77160
2012-02,Bokeo,0.0,23.564579372258706,2.0,77250
2012-03,Bokeo,56.25811247263636,27.029034308847855,6.0,77340
2012-04,Bokeo,72.69678444263167,28.29809096788397,17.0,77430
2012-05,Bokeo,213.35791359771417,26.60827740858438,47.0,77520
2012-06,Bokeo,384.03097110573196,26.14227727538193,18.0,77610
2012-07,Bokeo,439.26616959109657,24.464344602832675,50.0,77700
2012-08,Bokeo,383.1642833232014,21.997962160302986,47.0,77790
2012-09,Bokeo,183.81284814576534,20.486832571998605,27.0,77880
2012-10,Bokeo,111.74049230837596,20.471277337562316,6.0,77970
2012-11,Bokeo,53.23477799944112,20.552016398318678,1.0,78060
2012-12,Bokeo,2.5171629445642267,21.934470905886677,0.0,78150
2010-01,Savannakhet,21.55467864065436,22.942926561670326,,686000
2010-02,Savannakhet,64.89004122812798,25.933312670167584,,686800
2010-03,Savannakhet,74.28362764013337,27.285250229161893,71.0,687600
2010-04,Savannakhet,91.93574793642404,28.99192115571793,43.0,688400
2010-05,Savannakhet,230.69824758292106,26.414471121416057,142.0,689200
2010-06,Savannakhet,416.1906695462428,25.314300675093257,136.0,690000
2010-07,Savannakhet,516.4304452680873,23.868112282351156,176.0,690800
2010-08,Savannakhet,382.64643571655523,21.898995825781743,268.0,691600
2010-09,Savannakhet,213.47289555217012,19.520348787825036,156.0,692400
2010-10,Savannakhet,59.20709141898111,19.083945283128468,40.0,693200
2010-11,Savannakhet,52.63070834824831,19.278603137709425,5.0,694000
2010-12,Savannakhet,30.089873994480765,20.114535650693313,1.0,694800
2011-01,Savannakhet,47.94325449728134,23.633900140473564,3.0,695600
2011-02,Savannakhet,28.14813915677415,24.845933251210376,67.0,696400
2011-03,Savannakhet,35.07285499174869,27.15157624941616,124.0,697200
2011-04,Savannakhet,122.1973798962532,27.191747102997134,91.0,698000
2011-05,Savannakhet,247.58656646642356,26.754493963914253,150.0,698800
2011-06,Savannakhet,364.4363472800582,26.04387800049775,194.0,699600
2011-07,Savannakhet,448.4493294571343,23.763177535769668,488.0,700400
2011-08,Savannakhet,391.7674418120398,21.50373341746999,128.0,701200
2011-09,Savannakhet,261.54616680178225,20.32602407250692,95.0,702000
2011-10,Savannakhet,63.93906745898454,19.930605802240038,35.0,702800
2011-11,Savannakhet,69.99515302043456,20.29988859245921,21.0,703600
2011-12,Savannakhet,9.787499424307185,20.56699052369095,9.0,704400
2012-01,Savannakhet,40.19143457728878,23.08922389991513,6.0,705200
2012-02,Savannakhet,0.0,26.53064668100847,6.0,706000
2012-03,Savannakhet,40.74631786217506,26.11509048690899,279.0,706800
2012-04,Savannakhet,44.64697825121066,28.950258242370392,89.0,707600
2012-05,Savannakhet,215.0613003855164,27.9807871026101,126.0,708400
2012-06,Savannakhet,395.6312930473639,26.00741670338222,137.0,709200
2012-07,Savannakhet,481.31209311291263,23.290321235875602,63.0,710000
2012-08,Savannakhet,395.10770802146544,21.56278696710175,67.0,710800
2012-09,Savannakhet,246.882267901634,20.234860210970073,221.0,711600
2012-10,Savannakhet,82.23035229476115,18.85433918449155,56.0,712400
2012-11,Savannakhet,39.40556893125658,18.582549949721347,8.0,713200
2012-12,Savannakhet,38.726141309919825,21.504129995093024,3.0,714000
2010-01,Vientiane[prefecture],45.16873141930854,22.377737101664877,,559000
2010-02,Vientiane[prefecture],59.50317779942042,25.354877015943153,,560200
2010-03,Vientiane[prefecture],52.45103054478963,26.339320665033533,267.0,561400
2010-04,Vientiane[prefecture],75.14444612412879,26.63025457873718,209.0,562600
2010-05,Vientiane[prefecture],204.0958740844419,26.39794517360186,87.0,563800
2010-06,Vientiane[prefecture],367.6963824518512,26.621480400197818,123.0,565000
2010-07,Vientiane[prefecture],470.7100962258858,23.15536351828271,333.0,566200
2010-08,Vientiane[prefecture],426.07648297131817,22.110755477422476,231.0,567400
2010-09,Vientiane[prefecture],247.70030449842812,19.457449402888447,267.0,568600
2010-10,Vientiane[prefecture],124.94881091829875,19.58526683008918,35.0,569800
2010-11,Vientiane[prefecture],42.408188777169606,21.323401265360612,6.0,571000
2010-12,Vientiane[prefecture],24.66592988669112,21.48336962270284,3.0,572200
2011-01,Vientiane[prefecture],51.093909613082985,23.99444275287443,7.0,573400
2011-02,Vientiane[prefecture],42.63760106869787,24.976403487900555,23.0,574600
2011-03,Vientiane[prefecture],91.22125680171237,26.059069210470213,51.0,575800
2011-04,Vientiane[prefecture],65.34705133974386,27.20055902445113,110.0,577000
2011-05,Vientiane[prefecture],167.8154587734917,26.696856017065144,231.0,578200
2011-06,Vientiane[prefecture],395.8412750995458,25.483036815380892,153.0,579400
2011-07,Vientiane[prefecture],486.90994068132125,23.019665005029875,101.0,580600
2011-08,Vientiane[prefecture],394.70951410323784,19.925847203944784,315.0,581800
2011-09,Vientiane[prefecture],185.95467505462798,19.478091736900293,165.0,583000
2011-10,Vientiane[prefecture],33.583176983856156,18.509307711283444,41.0,584200
2011-11,Vientiane[prefecture],39.22240568425613,20.80290326503367,9.0,585400
2011-12,Vientiane[prefecture],35.458618647492955,21.406376362396077,1.0,586600
2012-01,Vientiane[prefecture],32.00414433720431,23.331350112735745,9.0,587800
2012-02,Vientiane[prefecture],11.235786847709182,25.863128338323182,42.0,589000
2012-03,Vientiane[prefecture],0.0,26.87951991622291,31.0,590200
2012-04,Vientiane[prefecture],112.52705532731956,28.455162579687034,132.0,591400
2012-05,Vientiane[prefecture],232.57985942394546,27.639577833037855,71.0,592600
2012-06,Vientiane[prefecture],380.07856591929885,24.736153745700946,43.0,593800
2012-07,Vientiane[prefecture],509.876136852877,23.195110671449488,286.0,595000
2012-08,Vientiane[prefecture],404.60560402424517,20.577367932806666,137.0,596200
2012-09,Vientiane[prefecture],193.5052664653013,20.801758160637263,51.0,597400
2012-10,Vientiane[prefecture],100.43626154697935,19.402650115671143,88.0,598600
2012-11,Vientiane[prefecture],37.28227113932304,21.672779541167273,19.0,599800
2012-12,Vientiane[prefecture],79.78916089156752,20.932779404455022,11.0,601000
